state,district,net_gw_availability_ham,net_gw_irrigation_ham,stage_pct,category
Andhra Pradesh,Guntur,155359.0,46677.0,36.0,Safe
Andhra Pradesh,Vizianagaram,144156.0,104597.0,79.0,Semi-Critical
Andhra Pradesh,Visakhapatnam,168366.0,103764.0,71.0,Semi-Critical
Andhra Pradesh,East Godavari,146879.0,32646.0,25.0,Safe
Andhra Pradesh,Srikakulam,180577.0,28288.0,19.0,Safe
Andhra Pradesh,Nellore,115361.0,62328.0,59.0,Safe
Andhra Pradesh,Kurnool,177279.0,108666.0,64.0,Safe
Andhra Pradesh,Prakasam,202389.0,51976.0,29.0,Safe
Andhra Pradesh,Khammam,164969.0,49627.0,36.0,Safe
Andhra Pradesh,Adilabad,137725.0,35086.0,28.0,Safe
Andhra Pradesh,Krishna,118668.0,95973.0,83.0,Semi-Critical
Andhra Pradesh,West Godavari,163341.0,69040.0,45.0,Safe
Andhra Pradesh,Mehaboobnagar,190929.0,103380.0,59.0,Safe
Andhra Pradesh,Kadapa,246888.0,62575.0,27.0,Safe
Andhra Pradesh,Nalgonda,120367.0,81284.0,69.0,Safe
Andhra Pradesh,Warangal,161414.0,43804.0,28.0,Safe
Andhra Pradesh,Karimnagar,64346.0,33303.0,70.0,Semi-Critical
Andhra Pradesh,Nizamabad,100213.0,20871.0,25.0,Safe
Andhra Pradesh,Rangareddy,84484.0,14310.0,22.0,Safe
Andhra Pradesh,Chittoor,90047.0,16184.0,19.0,Safe
Andhra Pradesh,Anantapur,175768.0,100739.0,62.0,Safe
Andhra Pradesh,Medak,147200.0,52859.0,36.0,Safe
Arunachal Pradesh,Tirap,9900.0,3.0,0.02828,Safe
Arunachal Pradesh,Changlang,25226.0,26.0,0.10109,Safe
Arunachal Pradesh,Lohit,175824.0,5.0,0.00301,Safe
Arunachal Pradesh,Anjaw,0.0,0.0,0.0,Safe
Arunachal Pradesh,Dibang Valley,0.0,0.0,0.0,Safe
Arunachal Pradesh,Lower Dibang Valley,91001.0,34.0,0.03681,Safe
Arunachal Pradesh,East Siang,66732.0,84.0,0.19196,Safe
Arunachal Pradesh,West Siang,5489.0,0.0,0.0,Safe
Arunachal Pradesh,Upper Siang,0.0,0.0,0.0,Safe
Arunachal Pradesh,East Kameng,14726.0,15.0,0.10186,Safe
Arunachal Pradesh,West Kameng,2116.0,0.0,0.0,Safe
Arunachal Pradesh,Lower Subansiri,2307.0,5.0,0.21669,Safe
Arunachal Pradesh,Upper Subansiri,299.0,0.0,0.0,Safe
Arunachal Pradesh,Papum Pare,12031.0,58.0,0.94339,Safe
Arunachal Pradesh,Tawang,0.0,0.0,0.0,Safe
Arunachal Pradesh,Kurung Kumey,0.0,0.0,0.0,Safe
Assam,Barpeta,82105.0,36041.0,48.0,Safe
Assam,Bongaigaon,81370.0,13280.0,18.0,Safe
Assam,Cachar,78554.0,11.0,5.0,Safe
Assam,Darrang,82117.0,19721.0,26.0,Safe
Assam,Dibrugarh,140696.0,14029.0,12.0,Safe
Assam,Dhemaji,166612.0,4142.0,3.0,Safe
Assam,Dhubri,113773.0,47935.0,46.0,Safe
Assam,Golaghat,126661.0,5214.0,6.0,Safe
Assam,Goalpara,103615.0,14512.0,16.0,Safe
Assam,Hailakandi,23660.0,0.0,6.0,Safe
Assam,Jorhat,133198.0,6425.0,7.0,Safe
Assam,Kamrup,118627.0,24720.0,23.0,Safe
Assam,Karbi Anglong,34046.0,104.0,6.0,Safe
Assam,Kokrajhar,143626.0,4008.0,4.0,Safe
Assam,Karimganj,42542.0,138.0,6.0,Safe
Assam,Lakhimpur,117537.0,3749.0,5.0,Safe
Assam,Morigaon,65643.0,14593.0,25.0,Safe
Assam,Nagaon,173425.0,33755.0,23.0,Safe
Assam,N.C. Hills,3416.0,0.0,13.0,Safe
Assam,Nalbari,34656.0,12327.0,40.0,Safe
Assam,Sibsagar,128812.0,7163.0,7.0,Safe
Assam,Sonitpur,177627.0,6585.0,6.0,Safe
Assam,Tinsukia,159247.0,7700.0,7.0,Safe
Assam,Baksa,67328.0,1396.0,5.0,Safe
Assam,Kamrup Metro,22130.0,1872.0,22.0,Safe
Assam,Udalguri,69615.0,4117.0,8.0,Safe
Assam,Chirang,87896.0,2308.0,4.0,Safe
Bihar,Araria,80819.0,22432.0,34.0,Safe
Bihar,Arwal,21237.0,9491.0,50.0,Safe
Bihar,Aurangabad,94371.0,18082.0,24.0,Safe
Bihar,Banka,43399.0,12988.0,37.0,Safe
Bihar,Begusarai,60624.0,33069.0,62.0,Safe
Bihar,Bhabhua,79436.0,23281.0,32.0,Safe
Bihar,Bhagalpur,70599.0,18397.0,34.0,Safe
Bihar,Bhojpur,79295.0,30706.0,45.0,Safe
Bihar,Buxar,59466.0,18463.0,36.0,Safe
Bihar,Darbhanga,60405.0,23710.0,52.0,Safe
Bihar,E.Champaran,129212.0,46748.0,42.0,Safe
Bihar,Gaya,105333.0,43910.0,49.0,Safe
Bihar,Gopalganj,64669.0,33480.0,58.0,Safe
Bihar,Jamui,40311.0,12689.0,39.0,Safe
