Sl. No.,States / Union Territories,Annual Replenishable Ground Water Resource,Column_3,Column_4,Column_5,Column_6,Natural Discharge during non- monsoon season,Net Annual Ground Water Availability,Annual Ground Water Draft,Column_10,Column_11,Projected demand for Domestic and Industrial uses upto 2025,Ground Water Availability for future irrigation,Stage of Ground Water Development (%),Sl. No._1,District,Natural,Net Ground Water Availability,Projected demand for Domestic and Industrial uses upto 2025_1,Net Ground Water Availability for Future Irrigation use,Stage of Ground Water Development (%)_1,Provision for Natural Discharges,Net Annual Ground Water Availability_1,Union Territory,Islands,Region,States / Union Territories_1,Total No. of Assessed Units,Safe,Semi-critical,Critical,Column_8,Over-exploited,Saline,Column_12,Sl. No. DISTRICT SEMI-CRITICAL CRITICAL OVER EXPLOITED Saline,No. of Assessed Blocks,Semi Critical,Sl.no. District Semi-critical Critical Over-exploited Saline,Sl. No. District Semi-critical Critical Over-exploited Saline,No of Assessed Blocks,Over Exploited,No. of Assessed Tehsils,Sl. NO.District Semi Critical Critical Over-Exploited Saline,No. of Assessed Units,Sl. No. District Semi critical Critical Over exploited Saline,No. of block Assessed,Semi critical,Over-exploted,Sl. No. DISTRICT Semi-critical Critical Over-exploited Saline,No. of Assessed VALLEY,Sl No Districts Semi-critical Critical Over-Exploited Saline,Sr.No. District Semi-Critical Critical Over-exploited Saline,Sl.No. District: Semi-Critical Critical Over-Exploited Saline,Sl. No. District Semi-Critical Critical Over-Exploited Saline,Sl.No District Semi Critical Critical Over Exploited Saline,CATEGORISATION OF BLOCKS IN TAMIL NADU,Column_1,Column_2,S. No. DISTRICT NAME SEMI-CRITICAL CRITICAL OVER-EXPLOITED SALINE,CATEGORIZTION OF BLOCKS IN UTTAR PRADESH,S. No. District Semi-critical Critical Over-Exploited Saline,Over-Exploited,Sl. No. Union Territory Semi-critical Critical Over-exploited Saline,S. No. Islands Semi-Critical Critical Over-exploited Saline,No. of Assessed Islands,No. of Assessed Regions,Parameter,Normal,Assessment year,Total (Command/Non-command),Soil Type,:,Sandy to sandy loams Soil,Type of Structure,Monsoon Season,Non-Monsoon Season,Data Source,Name of canal segment,Lined or unlined,Length of canal (m),Wetted perimeter (m),Wetted area (m.sqm),Seepage factor (ham per day per million square meters of wetted area),No of running days,Column_7,Seepage(ham),Column_9,Data Source_1,Name of (canal) Outlet,Irrigation Water Applied (ham),Return Flow Factor (Command area),Recharg e from Surface Water Irrigatio n (ham),Irrigatio n Water Applied (ham),Recharge from Surface Water Irrigatio n (ham),Irrigation Water Applied (GW Draft) (ham),Recharge from Ground Water Irrigation (ham),Name of Tanks/ Ponds,Average Water Spread Area (ha),No. of days water is available,Recharge from Tanks and Ponds (0.00144 *2*3),Column_0,Agriculture Deptt.,Sr. No,Name of the Structure,No. of structures,Gross Storage [ha.m],Recharge ( ham ),Normal Rainfall (m),Rainfall Infiltration Factor,Assessment Area (ha),Rainfall Recharge (ham) (1*2*3),Average pre- monsoon Depth to Water level (m bgl),Average post- monsoon Depth to Water level (m bgl),Water Level Fluctuation (m) (1-2),Rock Type,Specif ic Yield,Average Water Level Fluctuation (m),Change in Storage (ham),Ground Water Draft (ham),Ground Water Recharge (ham) (5+6),Recharge from Other Sources (ham),Rainfall Recharg e (ham) (8-7),Assessment Year,Rainfall Recharge,Rainfall for the corresponding Year,Recharge corresponding to Normal Rainfall (Normal Monsoon Rainfall *[2]/[3]),Projected population density at year 2025,Domestic & Industrial Water Supply Requirement (lpcd),Extend of Dependenc e on Ground Water,Annual Allocation of ground water resources for domestic and Industrial water requirement upto 2025 (mm) [(22/60000)*(1)* (2)*(3)],Area,Annual Allocation of ground water resources for domestic and Industrial water requirement upto 2025 (ham) [(5)*(4)/1000],Net Annual Ground Water Availability (ham),Annual Ground Water Draft for Irrigation use (ham),Annual Allocation of ground water resources for domestic and Industrial water requirement upto 2025 (ham),Net Ground Water Availability for future Irrigation (ham) [(1)-(2)-(3)],Annual Replenishable Ground Water Resources,Natural Discharg e during monsoon season,Net Annual Ground Water Availabili ty,Annual Ground Water Draft_1,Net Ground Water Availability for future Irrigation (ham),Stage of Ground Water Development (%)_2
None,None,Monsoon Season,None,Non-monsoon Season,None,Total,None,None,Irrigation,"Domestic
and
industrial
uses",Total,None,None,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
None,None,"Recharge
from rainfall","Recharge
from other
sources","Recharge
from rainfall","Recharge
from other
sources",None,None,None,None,None,None,None,None,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,2,3,4,5,6,7,8,9,10,11,12,13,u1s4e,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,States,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,Andhra Pradesh,17.25,6.29,5.38,6.97,35.89,3.32,32.57,13.18,1.33,14.51,2.81,16.97,45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,Arunachal Pradesh,3.36,0.00,1.15,0.00,4.51,0.45,4.06,0.002,0.001,0.003,0.01,4.05,0.08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,Assam,17.90,1.64,8.64,0.34,28.52,2.73,25.79,2.86,0.64,3.49,0.78,22.14,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,Bihar,19.54,3.95,3.40,2.44,29.34,2.47,26.86,10.25,1.70,11.95,2.51,14.10,44,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,Chhattisgarh,9.90,0.70,0.87,0.94,12.42,0.79,11.63,3.43,0.62,4.05,0.76,7.44,35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,Delhi,0.11,0.10,0.02,0.08,0.31,0.02,0.29,0.14,0.25,0.39,0.26,0.01,137,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,Goa,0.16,0.008,0.01,0.07,0.24,0.10,0.145,0.01,0.03,0.04,0.04,0.10,28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
