state,district,monsoon_recharge_rainfall,monsoon_recharge_other,nonmonsoon_recharge_rainfall,nonmonsoon_recharge_other,total_recharge_ham,natural_discharge_ham,net_gw_availability_ham,gw_draft_irrigation_ham,gw_draft_domestic_ind_ham,gw_draft_total_ham,projected_demand_2025_ham,net_gw_future_irrigation_ham,stage_pct,category
Andhra Pradesh,Guntur,109985.0,18487.0,22881.0,19825.0,171178.0,15819.0,155359.0,46677.0,8552.0,55229.0,10461.0,98221.0,36.0,Safe
Andhra Pradesh,Vizianagaram,69126.0,18403.0,43050.0,28717.0,159296.0,15140.0,144156.0,104597.0,9585.0,114182.0,13376.0,38123.0,79.0,Semi-Critical
Andhra Pradesh,Visakhapatnam,138586.0,13441.0,10345.0,24058.0,186430.0,18064.0,168366.0,103764.0,16033.0,119797.0,18852.0,47361.0,71.0,Semi-Critical
Andhra Pradesh,East Godavari,60450.0,38551.0,36600.0,25814.0,161415.0,14536.0,146879.0,32646.0,4451.0,37097.0,13177.0,101056.0,25.0,Safe
Andhra Pradesh,Srikakulam,48619.0,103483.0,31345.0,16859.0,200306.0,19729.0,180577.0,28288.0,6642.0,34930.0,14624.0,137823.0,19.0,Safe
Andhra Pradesh,Nellore,50584.0,16543.0,40086.0,16432.0,123645.0,8284.0,115361.0,62328.0,6105.0,68433.0,8804.0,44229.0,59.0,Safe
Andhra Pradesh,Kurnool,95298.0,27618.0,19069.0,53391.0,195376.0,18097.0,177279.0,108666.0,4620.0,113286.0,11415.0,60269.0,64.0,Safe
Andhra Pradesh,Prakasam,143369.0,12893.0,38140.0,26725.0,221127.0,18738.0,202389.0,51976.0,6206.0,58182.0,10983.0,139986.0,29.0,Safe
Andhra Pradesh,Khammam,48537.0,44546.0,22447.0,66356.0,181886.0,16917.0,164969.0,49627.0,9530.0,59157.0,11884.0,105226.0,36.0,Safe
Andhra Pradesh,Adilabad,58378.0,30103.0,29158.0,32876.0,150515.0,12790.0,137725.0,35086.0,4144.0,39230.0,13067.0,89853.0,28.0,Safe
Andhra Pradesh,Krishna,72443.0,15561.0,18917.0,24741.0,131662.0,12994.0,118668.0,95973.0,3066.0,99039.0,7603.0,24967.0,83.0,Semi-Critical
Andhra Pradesh,West Godavari,95154.0,29351.0,25467.0,31327.0,181299.0,17958.0,163341.0,69040.0,4502.0,73542.0,12666.0,81635.0,45.0,Safe
Andhra Pradesh,Mehaboobnagar,90352.0,47433.0,28710.0,44651.0,211146.0,20217.0,190929.0,103380.0,10197.0,113577.0,11549.0,76000.0,59.0,Safe
Andhra Pradesh,Kadapa,150029.0,48098.0,734.0,73610.0,272471.0,25583.0,246888.0,62575.0,5080.0,67655.0,44026.0,140287.0,27.0,Safe
Andhra Pradesh,Nalgonda,64576.0,22336.0,15913.0,30200.0,133025.0,12658.0,120367.0,81284.0,1934.0,83218.0,6679.0,34153.0,69.0,Safe
Andhra Pradesh,Warangal,60835.0,20303.0,26994.0,70492.0,178624.0,17210.0,161414.0,43804.0,2124.0,45928.0,7795.0,112453.0,28.0,Safe
Andhra Pradesh,Karimnagar,43753.0,5789.0,12695.0,8870.0,71107.0,6761.0,64346.0,33303.0,11954.0,45257.0,16234.0,18452.0,70.0,Semi-Critical
Andhra Pradesh,Nizamabad,44230.0,28943.0,26204.0,10774.0,110151.0,9938.0,100213.0,20871.0,4404.0,25275.0,9475.0,69867.0,25.0,Safe
Andhra Pradesh,Rangareddy,68026.0,5484.0,13207.0,5739.0,92456.0,7972.0,84484.0,14310.0,4287.0,18597.0,11421.0,58753.0,22.0,Safe
Andhra Pradesh,Chittoor,42054.0,22125.0,27903.0,7372.0,99454.0,9407.0,90047.0,16184.0,838.0,17022.0,6650.0,67213.0,19.0,Safe
Andhra Pradesh,Anantapur,116570.0,17391.0,26082.0,33863.0,193906.0,18138.0,175768.0,100739.0,8159.0,108898.0,14703.0,62290.0,62.0,Safe
Andhra Pradesh,Medak,53946.0,42053.0,22462.0,43810.0,162271.0,15071.0,147200.0,52859.0,565.0,53424.0,6003.0,88338.0,36.0,Safe
Arunachal Pradesh,Tirap,8718.0,0.0,2283.0,0.0,11000.0,1100.0,9900.0,3.0,0.0,3.0,43.0,9855.0,0.02828,Safe
Arunachal Pradesh,Changlang,20988.0,18.0,6996.0,27.0,28029.0,2803.0,25226.0,26.0,,26.0,59.0,25142.0,0.10109,Safe
Arunachal Pradesh,Lohit,143000.0,0.0,52360.0,0.0,195360.0,19536.0,175824.0,5.0,,5.0,101.0,175717.0,0.00301,Safe
Arunachal Pradesh,Anjaw,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Safe
Arunachal Pradesh,Dibang Valley,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Safe
Arunachal Pradesh,Lower Dibang Valley,70488.0,0.0,30624.0,0.0,101112.0,10111.0,91001.0,34.0,,34.0,104.0,90864.0,0.03681,Safe
Arunachal Pradesh,East Siang,60078.0,8.0,14049.0,12.0,74147.0,7415.0,66732.0,84.0,44.0,128.0,45.0,66603.0,0.19196,Safe
Arunachal Pradesh,West Siang,4878.0,1.0,1220.0,1.0,6099.0,610.0,5489.0,0.0,0.0,0.0,18.0,5471.0,0.0,Safe
Arunachal Pradesh,Upper Siang,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,Safe
Arunachal Pradesh,East Kameng,13338.0,0.0,3025.0,0.0,16363.0,1636.0,14726.0,15.0,,15.0,71.0,14640.0,0.10186,Safe
Arunachal Pradesh,West Kameng,1820.0,0.0,530.0,0.0,2351.0,235.0,2116.0,0.0,0.0,0.0,19.0,2097.0,0.0,Safe
Arunachal Pradesh,Lower Subansiri,1761.0,0.0,803.0,0.0,2564.0,256.0,2307.0,5.0,,5.0,91.0,2211.0,0.21669,Safe
Arunachal Pradesh,Upper Subansiri,228.0,0.0,105.0,0.0,333.0,33.0,299.0,0.0,0.0,0.0,0.0,299.0,0.0,Safe
Arunachal Pradesh,Papum Pare,10781.0,0.0,2587.0,0.0,13368.0,1337.0,12031.0,58.0,56.0,114.0,73.0,11900.0,0.94339,Safe
Arunachal Pradesh,Tawang,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,Safe
Arunachal Pradesh,Kurung Kumey,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Safe
